Fecha,Hora,Sector,Mp10,Mp2_5,Humedad,Temperatura
31-12-1999,21:00:37,poniente,20,19,47.4,21.5
31-12-1999,21:00:41,poniente,120,117,94.6,2.6
31-12-1999,21:00:42,poniente,13,12,62.0,16.7
31-12-1999,21:00:43,poniente,13,12,74.0,16.6
31-12-1999,21:00:44,poniente,4,3,8.780.001,6.5
31-12-1999,21:00:46,poniente,5,4,75.5,15.6
31-12-1999,21:00:49,poniente,3,2,79.8,7.7
31-12-1999,21:00:50,poniente,15,14,47.5,21.5
31-12-1999,21:03:04,poniente,17,16,47.9,
01-06-2019,0:00:59,santa rosa,36,28,,
01-06-2019,0:02:48,pueblo nuevo,,,75.3,12.5
01-06-2019,0:02:59,pueblo nuevo,17,16,,
01-06-2019,0:03:11,pueblo nuevo,17,17,,
01-06-2019,0:03:23,santa rosa,,,93.2,11.6
01-06-2019,0:03:35,santa rosa,37,35,,
01-06-2019,0:04:17,pedro valdivia,,,99.9,11.5
01-06-2019,0:06:05,amanecer,,,92.2,11.7
01-06-2019,0:06:16,amanecer,46,46,,
01-06-2019,0:06:16,universidad,15,14,96.1,12.2
01-06-2019,0:06:17,amanecer,43,41,,
01-06-2019,0:09:24,centro,,,93.3,11.6
01-06-2019,0:10:59,santa rosa,54,43,,
01-06-2019,0:12:48,pueblo nuevo,,,76.4,12.5
01-06-2019,0:12:59,pueblo nuevo,71,65,,
01-06-2019,0:13:11,pueblo nuevo,46,46,,
01-06-2019,0:13:23,santa rosa,,,92.7,11.9
01-06-2019,0:13:35,santa rosa,63,61,,
01-06-2019,0:14:17,pedro valdivia,,,98.6,11.9
01-06-2019,0:16:05,amanecer,,,92.1,12.0
01-06-2019,0:16:16,amanecer,42,41,,
01-06-2019,0:16:17,amanecer,36,34,,
01-06-2019,0:17:22,universidad,17,16,9.490.001,12.3
01-06-2019,0:19:24,centro,,,93.7,11.9
01-06-2019,0:20:58,santa rosa,104,87,,
01-06-2019,0:22:48,pueblo nuevo,,,77.7,12.3
01-06-2019,0:22:59,pueblo nuevo,53,45,,
01-06-2019,0:23:11,pueblo nuevo,34,33,,
01-06-2019,0:23:23,santa rosa,,,93.6,11.5
01-06-2019,0:23:35,santa rosa,67,65,,
01-06-2019,0:24:17,pedro valdivia,,,97.8,12.1
01-06-2019,0:26:04,amanecer,,,91.3,12.2
01-06-2019,0:26:16,amanecer,24,24,,
01-06-2019,0:26:17,amanecer,25,24,,
01-06-2019,0:28:28,universidad,11,10,94.6,12.4
01-06-2019,0:29:24,centro,,,93.3,12.0
01-06-2019,0:30:59,santa rosa,123,108,,
01-06-2019,0:32:48,pueblo nuevo,,,78.4,12.2
01-06-2019,0:32:59,pueblo nuevo,13,11,,
